term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0035947	regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter	0.0005933184	54.21803	152	2.803496	0.001663365	1.236192e-27	1.7195613665961942e-26	6	4.779358	5	1.046166	0.0003342916	0.8333333	0.6469043	0.9371415088421994
GO:1902172	regulation of keratinocyte apoptotic process	0.0005325765	48.66737	142	2.917766	0.001553934	1.515203e-27	2.1032232359704639e-26	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.7769129531069531
GO:1903242	regulation of cardiac muscle hypertrophy in response to stress	0.001560701	142.6184	290	2.033398	0.003173526	1.704358e-27	2.358322494426919e-26	9	7.169037	9	1.255399	0.0006017249	1.0	0.1290482	0.5474356105093487
GO:0051000	positive regulation of nitric-oxide synthase activity	0.001552223	141.8437	287	2.023354	0.003140697	6.49862e-27	8.861693324352332e-26	17	13.54151	15	1.107705	0.001002875	0.8823529	0.2973184	0.8486411659694288
GO:0030647	aminoglycoside antibiotic metabolic process	0.000541427	49.47614	142	2.87007	0.001553934	7.074677000000001e-27	9.617321760640496e-26	9	7.169037	8	1.11591	0.0005348666	0.8888889	0.4258357	0.9371415088421994
GO:0010887	negative regulation of cholesterol storage	0.0004566011	41.72467	126	3.019796	0.001378842	6.744687e-26	8.884217841141141e-25	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.7769129531069531
GO:0071472	cellular response to salt stress	0.0008389061	76.66008	184	2.400206	0.002013548	2.1067260000000003e-25	2.750238832738095e-24	8	6.372477	8	1.255399	0.0005348666	1.0	0.1620246	0.6135486939280576
GO:0097084	vascular smooth muscle cell development	0.000712304	65.09105	165	2.534911	0.001805627	2.627087e-25	3.4159918807312254e-24	8	6.372477	8	1.255399	0.0005348666	1.0	0.1620246	0.6135486939280576
GO:0015695	organic cation transport	0.00113858	104.0446	226	2.172146	0.002473162	3.026573e-25	3.9238102568472905e-24	23	18.32087	19	1.037069	0.001270308	0.826087	0.4840451	0.9371415088421994
GO:0010866	regulation of triglyceride biosynthetic process	0.001036763	94.74039	211	2.227139	0.002309014	6.006308e-25	7.710927509463415e-24	16	12.74495	15	1.176936	0.001002875	0.9375	0.1335188	0.5523338224457718
