term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0030896	checkpoint clamp complex	0.0001871871	8.037253	21	2.612833	0.0004890887	9.98701e-05	0.00037928688527472527	6	3.651062	5	1.369464	0.0004375985	0.8333333	0.2467089	0.7573601523809523
GO:0032044	DSIF complex	4.160364e-05	1.786335	9	5.038247	0.0002096094	0.0001036591	0.00038939766260869565	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0019773	proteasome core complex, alpha-subunit complex	0.0003215845	13.80787	30	2.172673	0.0006986981	0.0001072687	0.0004006466902807776	9	5.476594	6	1.095572	0.0005251182	0.6666667	0.5040142	0.9651926741116752
GO:0009841	mitochondrial endopeptidase Clp complex	2.439071e-05	1.047264	7	6.684084	0.0001630296	0.0001103809	0.00041107369655172415	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0031931	TORC1 complex	0.0004024141	17.27845	35	2.025644	0.0008151478	0.0001169821	0.0004319339076923077	7	4.259573	5	1.173827	0.0004375985	0.7142857	0.4385397	0.961670814213198
GO:0097059	CNTFR-CLCF1 complex	3.311359e-05	1.421798	8	5.626677	0.0001863195	0.0001182403	0.0004356486959488273	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0034466	chromaffin granule lumen	5.231142e-05	2.246096	10	4.45217	0.0002328994	0.0001190635	0.0004377483574468085	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:1990682	CSF1-CSF1R complex	0.0001223249	5.252266	16	3.046304	0.000372639	0.00012009	0.0004405849681528663	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0070381	endosome to plasma membrane transport vesicle	0.0001903651	8.173707	21	2.569214	0.0004890887	0.0001252308	0.00045847208135593216	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0097632	extrinsic component of pre-autophagosomal structure membrane	8.923517e-05	3.831491	13	3.392935	0.0003027692	0.000182086	0.000656878096033403	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
